"Source:","D:\_\EMC_5uH_LISN\5uH_LISN.kicad_sch"
"Date:","14/09/2023 15:15:29"
"Tool:","Eeschema 7.0.7"
"Generator:","D:\KiCad\kicad7_0_7\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","75"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2","2","22uF","C-Device","Capacitor_SMD:C_2220_5650Metric","","",""
"C5, C6, C7, C8","4","2.2uF","C-Device","Capacitor_SMD:C_1210_3225Metric","","",""
"C11, C12, C13, C14","4","470nF","C-EUC0805","Capacitor_SMD:C_0805_2012Metric","","",""
"C15, C16","2","100nF","C-EUC1206","Capacitor_SMD:C_1206_3216Metric","","",""
"CASE_HAMMOND_1590BBK1","1","~","CASE_HAMMOND_1590BBK","","","",""
"D1, D2, D3, D4","4","SOT23-DIODEDUAL","SOT23-DIODEDUAL","5uH_LISN:SOT23-DIODEDUAL","","",""
"GD1, GD2","2","S30-A75X","GDT_2pin_correct","5uH_LISN:S30-A400X","Gas Discharge Tube with 2 Pins","",""
"H1, H2, H3, H4","4","MOUNT-PAD-ROUND4.1","MOUNT-PAD-ROUND4.1","5uH_LISN:4,1-PAD","","",""
"J1, J2","2","Conn_SMA","Conn_Coaxial","Connector_Coaxial:SMA_Wurth_60312002114503_Vertical","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, ...)","",""
"J3, J4, J5, J6, J7, J8","6","BANANA_CONN","BANANA_CONN","5uH_LISN:BANANA_CONN","","",""
"L1, L2, L3, L4, L5, L7, L8, L9, L10, L11","10","1.1uH","WE-HCI_7030_7040_7050","5uH_LISN:WE-HCI_7030_7040_7050","","",""
"L6, L12","2","1mH","INDUCTOR","5uH_LISN:COILCRAFT_1008PS","","",""
"R1, R2","2","909R","R-EU_R0805","Resistor_SMD:R_0805_2012Metric","","",""
"R3, R4","2","1R","R-Device","Resistor_SMD:R_1218_3246Metric","","",""
"R5, R6","2","825R","R-EU_R0805","Resistor_SMD:R_0805_2012Metric","","",""
"R7, R8","2","12.1R","R-EU_R0805","Resistor_SMD:R_1206_3216Metric","","",""
"R9, R10, R13, R14","4","0R","R-Device","Resistor_SMD:R_1206_3216Metric","","",""
"R11, R12","2","243R","R-EU_R0805","Resistor_SMD:R_0805_2012Metric","","",""
"R15, R16","2","274R","R-EU_R0805","Resistor_SMD:R_0805_2012Metric","","",""
"R17, R18","2","30.1R","R-EU_R0805","Resistor_SMD:R_1206_3216Metric","","",""
"R19, R20, R21, R22, R23, R24, R25, R26","8","432R","R-EU_R0805","Resistor_SMD:R_0805_2012Metric","","",""
"R27, R28","2","18.2R","R-EU_R0805","Resistor_SMD:R_1206_3216Metric","","",""
"R29, R30","2","562R","R-EU_R0805","Resistor_SMD:R_0805_2012Metric","","",""
"R31, R32","2","619R","R-EU_R0805","Resistor_SMD:R_0805_2012Metric","","",""
